episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
65,6.12579511,4.9045927212,9,9
66,-0.8656721,4.81716446633,8,9
67,6.513215599,4.84247866234,10,9
68,-4.3046721,4.70796173937,8,9
69,6.12579511,4.72851004909,9,9
70,6.513215599,4.75400584266,10,9
71,6.12579511,4.77332681825,9,9
72,5.6953279,4.78613238883,8,9
73,6.513215599,4.80979106295,10,9
74,6.12579511,4.82757490142,9,9
75,6.12579511,4.8448845042,9,9
76,5.6953279,4.85607454888,8,9
77,1.34282611,4.81044794578,9,9
78,6.513215599,4.83227830031,10,9
79,6.12579511,4.84865193081,9,9
80,6.513215599,4.86945897666,10,9
81,6.513215599,4.8897522683,10,9
82,6.12579511,4.90482596149,9,9
83,6.12579511,4.91953643316,9,9
84,-2.882969,4.82664946371,7,9
85,6.12579511,4.84193353014,9,9
86,6.513215599,4.86136704257,10,9
87,-2.60441,4.77555351334,6,9
88,6.513215599,4.79529967341,10,9
89,-2.87420489,4.70912546483,9,9
90,5.6953279,4.72008326967,8,9
91,6.513215599,4.73978802054,10,9
92,5.6953279,4.75017432358,8,9
93,6.513215599,4.76913175665,10,9
94,6.513215599,4.78768584007,10,9
95,6.513215599,4.80584931122,10,9
96,6.12579511,4.81959874663,9,9
97,6.513215599,4.83705871418,10,9
98,6.12579511,4.85020908556,9,9
99,6.12579511,4.86309379288,9,9
100,6.513215599,4.87959501094,10,9
101,6.513215599,4.89576947221,10,9
102,6.12579511,4.90782854709,9,9
103,6.513215599,4.92341482915,10,9
104,6.513215599,4.93870137501,10,9
105,6.513215599,4.95369674857,10,9
106,6.12579511,4.96475428028,9,9
107,6.513215599,4.97922588139,10,9
108,6.12579511,4.98984226314,9,9
109,-1.16420489,4.93338311494,9,9
110,6.513215599,4.94774522844,10,9
111,6.513215599,4.96184856511,10,9
112,3.439,4.94825170292,4,9
113,6.12579511,4.95867244104,9,9
114,6.513215599,4.97230878453,10,9
115,-0.097379,4.92822454292,7,9
116,6.12579511,4.93854842712,9,9
117,6.513215599,4.9520071209,10,9
118,-0.8656721,4.90270475462,8,9
119,0,4.861505555,0,8
120,-12.882969,4.71363493371,7,8
121,-2.4046721,4.65480594996,8,8
122,6.12579511,4.66686323816,9,8
123,6.513215599,4.68187423296,10,8
124,4.68559,4.68190419882,6,8
125,6.513215599,4.69655469002,10,8
126,5.6953279,4.70448146153,8,8
127,6.513215599,4.71872346261,10,8
128,6.513215599,4.73274293243,10,8
129,5.6953279,4.7402048314,8,8
130,0.22089511,4.70544091047,9,8
131,1.9,4.684025331,2,8
132,6.513215599,4.69788283303,10,8
133,6.513215599,4.71153195157,10,8
134,1.0,4.68383395193,1,8
135,6.513215599,4.6973849271,10,8
136,-1.5946721,4.6511198019,8,8
137,6.12579511,4.66188385524,9,8
138,6.513215599,4.67529930266,10,8
139,6.513215599,4.68852172206,10,8
140,6.12579511,4.69878796054,9,8
141,6.513215599,4.71165624167,10,8
142,6.12579511,4.72161496609,9,8
143,6.513215599,4.73414364185,10,8
144,6.12579511,4.74380788815,9,8
145,6.12579511,4.75333883451,9,8
146,6.513215599,4.76539278495,10,8
147,6.513215599,4.77728273607,10,8
148,-4.3046721,4.71591817636,8,8
149,6.513215599,4.72798057517,10,8
150,6.513215599,4.739882142,10,8
151,6.12579511,4.74906037358,9,8
152,6.513215599,4.76066665795,10,8
153,6.513215599,4.7721212262,10,8
154,6.513215599,4.78342703381,10,8
155,6.513215599,4.79458696004,10,8
156,-3.87420489,4.73901778151,9,8
157,5.6953279,4.74510892876,8,8
158,6.513215599,4.75629947731,10,8
159,6.12579511,4.76491265739,9,8
160,6.12579511,4.77341817272,9,8
161,6.513215599,4.78422436791,10,8
162,6.513215599,4.79489715329,10,8
163,6.12579511,4.80306217143,9,8
164,6.513215599,4.81348993623,10,8
165,6.513215599,4.82379130388,10,8
166,-2.882969,4.77736503699,7,8
167,6.513215599,4.78775935174,10,8
168,6.513215599,4.79802992464,10,8
169,6.513215599,4.8081789523,10,8
170,1.0,4.78577789964,1,8
171,6.513215599,4.79587987449,10,8
172,6.12579511,4.80361193981,9,8
173,6.513215599,4.81349404188,10,8
174,6.12579511,4.82103600205,9,8
175,-1.97420489,4.78220605409,9,8
176,6.513215599,4.7920413356,10,8
177,6.12579511,4.79957666766,9,8
178,6.12579511,4.80702733306,9,8
179,6.513215599,4.81655911108,10,8
180,6.513215599,4.82598498046,10,8
181,6.513215599,4.83530669659,10,8
182,6.12579511,4.84239729226,9,8
183,6.12579511,4.84941039509,9,8
184,-4.3046721,4.79965994675,8,8
185,-3.87420489,4.75277419088,9,8
186,6.513215599,4.76223892963,10,8
187,6.513215599,4.77160244123,10,8
188,6.513215599,4.78086634101,10,8
189,6.513215599,4.7900322101,10,8
190,6.513215599,4.79910159635,10,9
191,6.513215599,4.80807601521,10,9
192,6.513215599,4.81695695055,10,9
193,6.513215599,4.82574585546,10,9
194,6.513215599,4.83444415311,10,9
195,6.513215599,4.84305323745,10,9
196,-0.43520489,4.81612334904,9,9
197,6.12579511,4.82277142905,9,9
198,6.513215599,4.83130902586,10,9
199,6.513215599,4.83976081769,10,9
200,6.513215599,4.84812809159,10,9
201,6.513215599,4.85641210904,10,9
202,6.12579511,4.86269618331,9,9
203,6.513215599,4.87082682082,10,9
204,3.439,4.8638080619,4,9
205,6.513215599,4.87185395232,10,9
206,6.12579511,4.87794104532,9,9
207,6.12579511,4.88396932583,9,9
