episode,discountedReturn,averageDiscountedReturn,episodeLength,averageEpisodeLength
157,-0.43520489,-2.54163365896,9,8
158,6.12579511,-2.48677651485,9,8
159,-13.3046721,-2.55481359401,8,8
160,-2.882969,-2.55686456529,7,8
161,-12.3046721,-2.61740995371,8,8
162,4.68559,-2.57232970708,6,8
163,6.12579511,-2.51896697814,9,8
164,-10.4849,-2.56753974047,5,8
165,6.513215599,-2.51250485962,10,8
166,-20.982969,-2.62377271589,7,8
167,6.12579511,-2.57138009418,9,8
168,-4.31441,-2.58175527219,6,8
169,0.22089511,-2.56517154212,9,8
170,5.217031,-2.51939388011,7,8
171,6.513215599,-2.46657160245,10,8
172,-12.563279,-2.52527338965,7,8
173,5.6953279,-2.47775546312,8,8
174,6.12579511,-2.42830977017,9,8
175,5.6953279,-2.38188898348,8,8
176,-2.4046721,-2.38201843301,8,8
177,-18.097379,-2.47080578084,7,8
178,-11.4046721,-2.52099604106,8,8
179,-3.782969,-2.52804616932,7,8
180,-12.782969,-2.58501796283,7,8
181,-0.43520489,-2.57314054254,9,8
182,-7.29,-2.59905735274,3,8
183,-14.3046721,-2.66302246065,8,8
184,-9.6190821,-2.7008271326,8,8
185,-9.2095721,-2.73600953783,8,8
186,6.12579511,-2.68836542682,9,8
187,6.12579511,-2.6412308785,9,8
188,-2.4046721,-2.63997258712,8,8
189,0,-2.6260044782,0,8
190,6.12579511,-2.5799423751,9,8
191,-1.5946721,-2.57478389198,8,8
192,-0.2095721,-2.56246508057,8,8
193,-0.2095721,-2.55027392523,8,8
194,6.12579511,-2.50555191989,9,8
195,-1.5946721,-2.50088074133,8,8
196,6.513215599,-2.45489045388,10,8
197,-2.87420489,-2.45701895355,9,8
198,-0.2095721,-2.44566821187,8,8
199,-1.16420489,-2.43922869769,9,8
200,-24.31441,-2.5486046042,6,8
201,-28.21931,-2.67631955642,6,8
202,-8.633969,-2.7058128705,7,8
203,-1.16420489,-2.69821874251,9,8
204,-11.343969,-2.74059987123,7,8
205,-2.87420489,-2.74125160302,9,8
206,6.513215599,-2.69632700496,10,8
207,1.82112301,-2.67450357493,9,8
208,1.0,-2.65683769236,1,8
209,6.513215599,-2.61296183929,10,8
210,6.513215599,-2.56950385149,10,8
211,-6.9090821,-2.59007057305,8,8
212,-3.87420489,-2.59612781039,9,8
213,1.82112301,-2.57538954363,9,8
214,6.513215599,-2.53291942614,10,8
215,-14.692769,-2.58947686602,7,8
216,6.513215599,-2.54733477127,10,8
217,-16.652969,-2.61233769399,7,8
218,6.513215599,-2.57047735778,10,8
219,6.513215599,-2.52899930775,10,8
220,6.12579511,-2.48965933312,9,8
221,6.513215599,-2.44892234248,10,8
222,6.513215599,-2.40855235175,10,8
223,6.513215599,-2.36854442372,10,8
224,6.513215599,-2.32889370933,10,8
225,-17.387379,-2.39582031063,7,8
226,-1.16420489,-2.39037068487,9,8
227,-3.87420489,-2.39690739943,9,8
228,-7.4266721,-2.41896777093,8,8
229,-1.97420489,-2.41702557494,9,8
230,6.12579511,-2.37988287631,9,8
231,6.513215599,-2.34138461451,10,8
232,3.439,-2.31646916359,4,8
233,-1.97420489,-2.31500021821,9,8
234,-0.43520489,-2.30696690484,9,8
235,0.81138511,-2.2936973218,9,8
236,-2.4046721,-2.29416755391,8,8
237,1.34282611,-2.27882158908,9,8
238,1.0,-2.26504502778,1,8
239,-1.5946721,-2.26224012013,8,8
240,6.12579511,-2.22728997334,9,8
241,1.82112301,-2.21049157922,9,8
242,6.12579511,-2.17604411356,9,8
243,6.513215599,-2.14028584314,10,8
244,0.22089511,-2.13060887202,9,8
245,-2.87420489,-2.13364395781,9,8
246,-10.5046721,-2.16767252749,8,8
247,-9.6190821,-2.19784017758,8,8
248,6.513215599,-2.16271495268,10,8
249,-32.60441,-2.28497075608,6,8
250,-3.782969,-2.29096274906,7,8
251,-10.5946721,-2.32404525643,8,8
252,1.34282611,-2.30949417958,9,8
253,-4.3046721,-2.31738025832,8,8
254,-20.97521,-2.39083628092,6,8
255,6.12579511,-2.35743772645,9,8
256,-1.97420489,-2.35594072318,9,8
257,-17.18441,-2.41363904721,6,8
258,5.6953279,-2.38220894277,8,8
259,-5.31441,-2.39353018237,6,8
260,6.513215599,-2.35927346783,10,8
261,6.12579511,-2.32676362653,9,8
262,1.9,-2.31063094094,2,8
263,6.513215599,-2.27708019363,10,8
264,-12.4046721,-2.31544228419,8,8
265,6.513215599,-2.28212659406,10,8
266,-11.4046721,-2.31642187792,8,8
267,-12.782969,-2.35562242894,7,8
268,6.513215599,-2.32252974973,10,8
269,6.513215599,-2.28968311275,10,8
270,-25.9049,-2.377146879,5,8
